22,Ni,Ru,s1,24.81,0.85,0.00,1.31,7430,4336,21.27,159.76,24.8,2.4,1447.7,2.57,221,3.51,14.89,117,15,34.93,19.8,0.68,207.7,29.5,42.72,945.27,4.11,72,9,18,11,5,0.07,-1420,-884,-3.47,-42.38,-3.2,-0.1,25.7,-0.07,1,-0.27,-1.71,5,0.26,1.41,7,0.2,-26.3,-0.3,-8.32,-190.27,-0.29,-16,-1,2,-5,-1,-4.31,8.00,3.08,0.00
23,In,Cr,s1,37.87,0.92,0.00,1.42,5295,2559.78,14.5,166.82,38.1,2.62,1211.1,2.91,93,3.85,22.93,124,12.56,35.37,37,0.68,175.3,11.3,23.26,565.84,3.44,73,9,19,9,6,0.18,-595,-1700.22,0.12,62.82,14.1,0.26,-94.5,0.41,-35,0.15,8.47,26,-0.98,2.37,27.2,-0.22,-12.1,-4.5,-16.74,-113.16,0.12,25,1,7,-3,0,-4.31,8.00,3.08,0.00
24,Ga,Cd,s1,43.61,0.12,0.00,1.57,3518,897.18,14.56,182.13,41.1,2.67,1446.5,2.9,29,3.52,24.9,144,14.99,37.42,50.5,0.6,137.4,16.5,11.66,355.93,3.5,79,9,25,5,5,-0.33,1438,-291.34,-2.74,-42.69,-1.9,-0.15,-288.9,-0.08,29,0.1,-1.3,4,-2.99,3.6,-11.1,0.14,-56.2,-12.9,-0.48,156.19,0.12,-17,-1,1,1,1,-4.31,8.00,3.08,0.00
25,Rb,Ca,s1,64.14,-3.69,4.75,2.61,2718,1424.63,3.08,125.55,137.1,3.9,992.8,4.45,-109.11,5.21,81.8,11,10.29,39.15,113.3,1.01,258.2,79.1,10.87,223.87,1.82,57,9,3,6,3,0.61,-796,-799.37,-0.02,45.39,48.9,0.42,-186.8,0.51,202.89,0.75,30,-3,-1.93,15.41,68.7,-0.29,-141.8,16.5,-6.19,-85.47,-0.18,17,1,-1,2,-1,-4.31,8.00,3.08,0.00
26,Be,Er,s1,38.44,0.16,0.00,1.45,6383,3362,10.92,176.27,38.7,2.47,1488.4,2.88,-190,3.85,23.4,102,15.42,30.14,20.7,1.99,214.3,26.2,28.86,589.88,2.81,72,8,5,5,5,-0.55,103,-242,-7.22,-158.25,-22.5,-0.67,310.4,-0.64,-290,-1.05,-13.4,32,3.22,6.28,1.9,1.65,185.7,23.8,-5.44,4.12,0.33,-64,-4,-1,-1,-1,-4.31,8.00,3.08,0.00
27,Ir,Nd,s1,44.30,-1.06,0.00,1.92,8047,4014,29.61,336.46,48,2.91,1410,3.18,200,4.51,29.14,79,14.63,26.73,13.3,0.32,163.5,22.9,37.24,847.26,3.34,137,12,12,6,7,-0.66,1353,1426,15.59,47.98,-20.4,-0.37,350,-0.46,100,-0.77,-12.06,41,3.57,5.27,-0.5,-0.06,130.5,19.7,15.48,279.9,1.06,17,0,6,0,1,-4.31,8.00,3.08,0.00
28,Ti,Nd,s1,49.55,0.81,0.00,1.9,6907,3229,11.55,192.12,51.8,2.96,1188,3.27,70,4.64,31.24,62,12.35,24.31,15.5,0.71,38.4,4.2,29.48,708.88,2.68,82,10,7,7,7,-0.68,213,641,-2.47,-96.36,-16.6,-0.32,128,-0.37,-30,-0.64,-9.96,24,1.29,2.85,1.7,0.33,5.4,1,7.72,141.52,0.4,-38,-2,1,1,1,-4.31,8.00,3.08,0.00
29,As,Gd,s1,46.81,-2.12,0.00,1.63,4421,2675,13.68,232.17,54.4,2.81,1539,3.19,127,3.87,33,111,15.96,30.73,13.4,0.57,60.6,4.6,43.18,344.11,3.36,97,10,18,8,6,-0.47,-2669,-495,-2.12,-82.33,-11.4,-0.41,355,-0.41,27,-1.21,-6.8,57,3.66,6.53,17.4,0.09,39.4,3,12.22,-279.31,0.96,-31,-2,12,2,0,-4.31,8.00,3.08,0.00
30,Br,Tb,s1,47.21,-1.56,0.00,3.14,3831.85,1894.95,11.35,238.83,97,2.73,1703.9,2.92,374.6,3.63,44.8,124,17.67,33.33,9.4,0.41,11.22,0.9,16.09,309.72,4.16,100,10,20,11,4,0.78,-3168.15,-1363.05,-5.11,-79.03,33.2,-0.45,575.9,-0.64,274.6,-1.39,6.4,66,5.95,10.27,-9.4,0.05,-10.98,-0.9,-5.51,-280.28,1.76,-30,-2,14,3,-2,-4.31,8.00,3.08,0.00
31,Al,Tb,s1,47.33,-0.80,0.00,1.72,6240,2562.5,10.93,185.91,48.5,2.77,1141.6,3.21,95,4.13,29.2,102,11.85,30.36,32.5,1.08,248.1,38.6,21.5,585.8,2.81,78,9,16,7,6,-0.64,-760,-695.5,-5.53,-131.95,-15.3,-0.41,13.6,-0.35,-5,-0.89,-9.2,44,0.13,7.3,13.7,0.72,225.9,36.8,-0.1,-4.2,0.41,-52,-3,10,-1,0,-4.31,8.00,3.08,0.00
32,Mg,Ru,s1,30.46,0.53,0.00,1.34,5805,3532,14.11,125.37,37.4,2.61,1448.7,2.92,-120,3.61,22.27,124,15.02,31.8,31.2,1.26,273,37.3,34.47,695.37,3.51,56,8,10,10,5,0.1,-3045,-1688,-10.63,-76.77,9.4,0.11,26.7,0.28,-340,-0.17,5.67,12,0.28,-1.72,18.4,0.78,39,7.5,-16.57,-440.17,-0.89,-32,-2,-6,-6,-1,-4.31,8.00,3.08,0.00
33,As,W,s1,30.56,0.59,0.00,1.18,6701,4785,25.08,258.77,37.3,2.5,1717,2.76,137,3.35,22.63,135,17.79,35.63,19.9,0.46,224,22,63.1,454.98,4.52,107,10,21,11,9,-0.02,-4949,-2605,-13.52,-108.93,5.7,-0.1,177,0.02,17,-0.69,3.57,33,1.83,1.63,10.9,0.2,-124,-14.4,-7.7,-390.18,-0.2,-41,-2,9,-1,-3,-4.31,8.00,3.08,0.00
34,Ni,Hg,s1,31.45,0.75,0.00,1.71,3634.88,1960.31,22.45,259.28,34.6,2.64,1743.7,2.85,111,3.38,21.41,132,18.07,36.93,62.4,0.58,99.04,15.6,19.49,436.8,3.91,108,10,22,5,4,-0.33,2375.12,1491.69,-4.65,-141.9,-13,-0.34,-270.3,-0.35,111,-0.14,-8.23,-10,-2.81,-0.59,-35.6,0.3,82.36,13.6,14.91,318.2,-0.09,-52,-2,-2,1,0,-4.31,8.00,3.08,0.00
35,Br,Zr,s1,40.97,-0.19,0.00,2.8,5013.85,2393.95,9.63,171.12,88.3,2.59,1799.9,2.74,374.6,3.28,39.7,139,18.15,34.93,5.7,0.51,22.82,2.3,26.29,605.22,4.29,75,9,21,11,5,1.12,-4350.15,-1862.05,-3.39,-11.32,41.9,-0.31,479.9,-0.46,274.6,-1.04,11.5,51,5.47,8.67,-5.7,-0.05,-22.58,-2.3,-15.71,-575.78,1.63,-5,-1,13,3,-3,-4.31,8.00,3.08,0.00
